Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Strain],Term Source 2 REF,Term Source 2 Accession,Material Type,Experimental Condition [Genotype],Characteristics [Developmental Stage],Assay Name,Comment [Image File Comments],Comment [Image File Type],Channels
TimEmbryos-102219-HybCycle_0,MMStack_Pos2.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos2,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos2.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos2,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos20.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos20,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos20.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos20,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos20.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos20,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos21.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos21,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos21.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos21,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos21.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos21,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos22.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos22,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos22.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos22,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos22.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos22,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos23.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos23,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos23.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos23,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos23.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos23,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos24.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos24,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos24.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos24,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos24.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos24,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos25.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos25,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos25.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos25,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos25.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos25,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos26.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos26,HybCycle_0,raw,A647; A488; Cy3B; DAPI
